name,bus,p_nom,type,carrier,lat,lon
Gen_51396534584,unzugeordnet,77.01,PV,Solar Gebäude,53.0802583333333,8.770875
Gen_51396547230,unzugeordnet,40.0,PV,Solar Gebäude,53.0229472222222,8.86608888888889
Gen_51396703527,unzugeordnet,1999.0,BHKW,Erdgas,53.05375,8.79693055555556
Gen_51396745149,unzugeordnet,138.16,PV,Solar Gebäude,53.0329111111111,8.89752222222222
Gen_51396745925,unzugeordnet,2300.0,WEA,Windenergie,53.14365,8.74270277777778
Gen_51396745925,unzugeordnet,2300.0,WEA,Windenergie,53.1424472222222,8.74609444444444
Gen_51402360287,unzugeordnet,34.0,BHKW,Erdgas,53.0170222222222,8.836375
Gen_51401083682,unzugeordnet,70.22,PV,Solar Gebäude,53.0380416666667,8.96419722222222
Gen_51401084911,unzugeordnet,295.21,PV,Solar Gebäude,53.0888166666667,8.81148888888889
Gen_51401199611,unzugeordnet,34.0,BHKW,Erdgas,53.0981888888889,8.76816944444445
Gen_51394949313,unzugeordnet,34.0,BHKW,Sonstiges (z.B. Heizöl),53.06175,8.96231111111111
Gen_51394964494,unzugeordnet,43.16,PV,Solar Gebäude,53.0516416666667,8.96528611111111
Gen_51402360493,unzugeordnet,272.16,PV,Solar Gebäude,53.0886222222222,8.78220833333334
Gen_51395117050,unzugeordnet,242.25,PV,Solar Gebäude,53.0501361111111,8.83970277777778
Gen_51395171494,unzugeordnet,50.0,BHKW,Erdgas,53.1702388888889,8.66413055555556
Gen_51395172161,unzugeordnet,50.0,BHKW,Erdgas,53.1001805555556,8.8748
Gen_51402359678,unzugeordnet,50.0,BHKW,Erdgas,53.0928611111111,8.93094166666667
Gen_51397334420,unzugeordnet,62.4,PV,Solar Gebäude,53.1348027777778,8.737
Gen_51398086806,unzugeordnet,44.25,PV,Solar Gebäude,53.0764194444445,8.80871944444445
Gen_51402359123,unzugeordnet,50.0,BHKW,Erdgas,53.09,8.78885
Gen_51398109690,unzugeordnet,100.0,BHKW,Erdgas,53.0765027777778,8.80849722222222
Gen_51402360039,unzugeordnet,34.0,BHKW,Erdgas,53.09475,8.80763055555556
Gen_51402360120,unzugeordnet,34.0,BHKW,Erdgas,53.0833333333333,8.8072
Gen_51402359214,unzugeordnet,34.0,BHKW,Erdgas,53.0864805555556,8.90915
Gen_51398118948,unzugeordnet,50.0,BHKW,Erdgas,53.0723,8.81581111111111
Gen_51399564710,unzugeordnet,142.0,BHKW,Erdgas,53.0430611111111,8.73191111111111
Gen_51397856052,unzugeordnet,72.0,PV,Solar Gebäude,53.0900194444444,8.764625
Gen_51402359925,unzugeordnet,50.0,BHKW,Erdgas,53.0826611111111,8.76006666666667
Gen_51402360021,unzugeordnet,50.0,BHKW,Erdgas,53.1022,8.79823055555556
Gen_51402270030,unzugeordnet,99.94,PV,Solar Gebäude,53.0686583333333,8.90376111111111
Gen_51402360196,unzugeordnet,50.0,BHKW,Erdgas,53.0512277777778,8.89945555555556
Gen_51402370385,unzugeordnet,173.84,PV,Solar Gebäude,53.1986361111111,8.57278333333333
Gen_51402371789,unzugeordnet,138.33,PV,Solar Gebäude,53.0344722222222,8.90069444444445
Gen_51402372787,unzugeordnet,50.4,PV,Solar Gebäude,53.1344972222222,8.73866111111111
Gen_51402383049,unzugeordnet,3200.0,WEA,Windenergie,53.02115,8.91191666666667
Gen_51402383065,unzugeordnet,3200.0,WEA,Windenergie,53.02205,8.90305
Gen_51402383065,unzugeordnet,3200.0,WEA,Windenergie,53.0236333333333,8.90005
Gen_51402383065,unzugeordnet,3200.0,WEA,Windenergie,53.02755,8.89391666666667
Gen_51402384170,unzugeordnet,99.55,PV,Solar Gebäude,53.0790611111111,8.78516388888889
Gen_51402385227,unzugeordnet,43.2,PV,Solar Gebäude,53.09675,8.78234444444445
Gen_51402385540,unzugeordnet,66.6,PV,Solar Gebäude,53.1088611111111,8.88313888888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1243472222222,8.70061388888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1243472222222,8.70061388888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1243472222222,8.70061388888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1243472222222,8.70061388888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1243472222222,8.70061388888889
Gen_51402390317,unzugeordnet,2000.0,WEA,Windenergie,53.1255305555556,8.68102222222222
Gen_51402395482,unzugeordnet,99.12,PV,Solar Gebäude,53.0806,8.92779722222222
Gen_51402401924,unzugeordnet,59.4,PV,Solar Gebäude,53.1063333333333,8.85463333333333
Gen_51402407196,unzugeordnet,148.0,NOT,Dieselöl,53.0310833333333,8.90341666666667
Gen_51402407873,unzugeordnet,50.0,BHKW,Erdgas,53.0411194444444,8.73416666666667
Gen_51402412179,unzugeordnet,2500.0,NOT,Dieselöl,53.12925,8.68186111111111
Gen_51402417228,unzugeordnet,226.86,PV,Solar Gebäude,53.0438166666667,8.96539166666667
Gen_51402425726,unzugeordnet,68.635,PV,Solar Gebäude,53.0713194444445,8.77399722222222
Gen_51402425924,unzugeordnet,40.0,BHKW,Erdgas,53.0929138888889,8.90459166666667
Gen_51402427136,unzugeordnet,18000.0,SPE,Speicherstrom,53.0589444444444,8.87411111111111
Gen_51402429801,unzugeordnet,92.38,PV,Solar Gebäude,53.0930222222222,8.816775
Gen_51402431492,unzugeordnet,187.2,PV,Solar Gebäude,53.1930611111111,8.55259166666667
Gen_51402433076,unzugeordnet,50.0,BHKW,Erdgas,53.0624583333333,8.96169444444444
Gen_51402433076,unzugeordnet,50.0,BHKW,Erdgas,53.0624583333333,8.96169444444444
